Service Area,Bureau,Budget Category,Actual FY 2013-14,Revised FY 2014-15,Adopted FY 2015-16,Actual FY 2014-15,Revised FY 2015-16,Adopted FY 2016-17
Public Safety,Bureau of Emergency Communications,total,23346735,26011293,24678136,25648759,25436763,24911190
Public Safety,Bureau of Emergency Communications,Operating,23346735,26011293,24678136,25648759,24036763,24911190
Public Safety,Bureau of Emergency Communications,Capital,0,0,0,0,1400000,0
Public Safety,Bureau of Fire & Police Disability & Retirement,total,162389491,168679709,175007441,164286502,175992259,178734312
Public Safety,Bureau of Fire & Police Disability & Retirement,Operating,162156833,168591409,174927121,164190189,175911939,178688312
Public Safety,Bureau of Fire & Police Disability & Retirement,Capital,232658,88300,80320,96313,80320,46000
Public Safety,Portland Bureau of Emergency Management,total,510559,4736868,5750416,-435600,8182672,4774718
Public Safety,Portland Bureau of Emergency Management,Operating,412686,4736868,5750416,-435600,8182672,4774718
Public Safety,Portland Bureau of Emergency Management,Capital,97873,0,0,0,0,0
Public Safety,Portland Fire & Rescue,total,98589213,120782501,117918173,106020212,128381715,115649379
Public Safety,Portland Fire & Rescue,Operating,97320826,107437623,109533768,104921726,114715323,113951130
Public Safety,Portland Fire & Rescue,Capital,1268387,13344878,8384405,1098486,13666392,1698249
Public Safety,Portland Police Bureau,total,169435128,183643776,190133277,182510373,197105623,201125579
Public Safety,Portland Police Bureau,Operating,169282301,183643776,190133277,182132897,197105623,201125579
Public Safety,Portland Police Bureau,Capital,152827,0,0,377476,0,0
Public Safety,all bureaus,pssa total,454271126,503854147,513487443,478030246,535099032,525195178
Parks Recreation & Culture,Portland Parks & Recreation,total,140838221,146126991,141460137,154066617,191963969,175426298
Parks Recreation & Culture,Portland Parks & Recreation,Operating,121090017,103130349,99611183,136599604,141034409,128370592
Parks Recreation & Culture,Portland Parks & Recreation,Capital,19748204,42996642,41848954,17467013,50929560,47055706
Parks Recreation & Culture,all bureaus,prsa total,140838221,146126991,141460137,154066617,191963969,175426298
Public Utilities,Bureau of Environmental Services,total,936309166,1026749727,960783777,1111003295,1012959882,1154410271
Public Utilities,Bureau of Environmental Services,Operating,817242945,914304295,856181777,1006109606,908226282,1045267271
Public Utilities,Bureau of Environmental Services,Capital,119066221,112445432,104602000,104893689,104733600,109143000
Public Utilities,Portland Water Bureau,total,645773602,623262796,534262544,617173564,558349705,645005105
Public Utilities,Portland Water Bureau,Operating,508095498,535622796,465491794,516573671,499053955,562115105
Public Utilities,Portland Water Bureau,Capital,137678104,87640000,68770750,100599893,59295750,82890000
Public Utilities,all bureaus,pusa total,1582082768,1650012523,1495046321,1728176859,1571309587,1799415376
Community Development,Bureau of Development Services,total,73147581,69624804,97772818,93304246,99879389,122044349
Community Development,Bureau of Development Services,Operating,69496839,65803364,92049474,90768439,94156045,119023246
Community Development,Bureau of Development Services,Capital,3650742,3821440,5723344,2535807,5723344,3021103
Community Development,Office of Equity & Human Rights,total,1428905,1707196,1818076,1616842,1864445,1672186
