Source Document,Service Area,Bureau,Key Performance Measure,FY,Budget Type,Amount,Units
FY 2015-16 Budget in Brief,Public Safety,Bureau of Emergency Communications,BOEC - % of priority medical calls dispatched within 90 seconds,2013-14,Actual ,72,%
FY 2015-16 Budget in Brief,Public Safety,Bureau of Fire & Police Disability & Retirement,"FPDR - Tax levy rate per $1,000 of Real Market Value",2013-14,Actual ,1.62,$
FY 2015-16 Budget in Brief,Public Safety,Portland Bureau of Emergency Management,PBEM - % of neighborhoods with Neighborhood Emergency Teams,2013-14,Actual ,37,%
FY 2015-16 Budget in Brief,Public Safety,Portland Fire & Rescue,Fire -  Maximum response time to 90% of high priority calls,2013-14,Actual ,7.12,
FY 2015-16 Budget in Brief,Public Safety,Portland Police Bureau,"Police - Part 1 person crimes per 1,000 residents",2013-14,Actual ,4.93,
FY 2015-16 Budget in Brief,Public Safety,Portland Police Bureau,Police -  Residents who feel safe walking in their neighborhood at night,2013-14,Actual ,62,%
FY 2015-16 Budget in Brief,Parks Recreation & Culture,Portland Parks & Recreation,Parks - % of residents living within 1/2 mile of a park or natural area,2013-14,Actual ,80,%
FY 2015-16 Budget in Brief,Parks Recreation & Culture,Portland Parks & Recreation,Parks - Facility conditions index,2013-14,Actual ,7.3,
FY 2015-16 Budget in Brief,Parks Recreation & Culture,Portland Parks & Recreation,Parks - % of residents rating the quality of parks as good or very good,2013-14,Actual ,85,%
FY 2015-16 Budget in Brief,Public Utilities,Bureau of Environmental Services,BES - Number of sanitary sewer overflows,2013-14,Actual ,226,
FY 2015-16 Budget in Brief,Public Utilities,Bureau of Environmental Services,BES - Number of combined sewer overflow events,2013-14,Actual ,4,
FY 2015-16 Budget in Brief,Public Utilities,Portland Water Bureau,Water - Unplanned events leading to customers out of water (> 8 hrs.),2013-14,Actual ,1,
FY 2015-16 Budget in Brief,Public Utilities,Portland Water Bureau,Water - % of identified high risk assets addressed,2013-14,Actual ,96,%
FY 2015-16 Budget in Brief,Community Development,Bureau of Development Services,BDS – % of commercial inspections made within 24 hours of request,2013-14,Actual ,86,%
FY 2015-16 Budget in Brief,Community Development,Bureau of Planning & Sustainability,BPS – % of Portlanders living in complete neighborhoods,2013-14,Actual ,59,%
FY 2015-16 Budget in Brief,Community Development,Office of Equity & Human Rights,Equity – % of City management that are employees of color  ,2013-14,Actual ,14,%
FY 2015-16 Budget in Brief,Community Development,Portland Housing Bureau,Housing – Housing units opened that are newly affordable,2013-14,Actual ,279,
