Source document,Service Area,Bureau,Budget Category,Amount,FY,Budget Type
FY 2015-16 Budget in Brief,Public Safety,Bureau of Emergency Communications,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Bureau of Fire & Police Disability & Retirement,Capital,232658,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Portland Bureau of Emergency Management,Capital,97873,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Portland Fire & Rescue,Capital,1268387,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Portland Police Bureau,Capital,152827,2013-14,Actual
FY 2015-16 Budget in Brief,Parks Recreation & Culture,Portland Parks & Recreation,Capital,19748204,2013-14,Actual
FY 2015-16 Budget in Brief,Public Utilities,Bureau of Environmental Services,Capital,119066221,2013-14,Actual
FY 2015-16 Budget in Brief,Public Utilities,Portland Water Bureau,Capital,137678104,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Bureau of Development Services,Capital,3650742,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Office of Equity & Human Rights,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Portland Housing Bureau,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Office of Neighborhood Involvement,Capital,23,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Bureau of Planning & Sustainability,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Portland Development Commission,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,City Budget Office,Capital,238525,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Office of the City Attorney,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Office of Government Relations,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Office of Management & Finance,Capital,56587258,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Special Appropriations,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Fund & Debt Management,Capital,0,2013-14,Actual
FY 2015-16 Budget in Brief,Transportation & Parking,Portland Bureau of Transportation,Capital,93938530,2013-14,Actual
FY 2015-16 Budget in Brief,Elected Officials,Office of the City Auditor,Capital,26117,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Bureau of Emergency Communications,Operating,23346735,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Bureau of Fire & Police Disability & Retirement,Operating,162156833,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Portland Bureau of Emergency Management,Operating,412686,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Portland Fire & Rescue,Operating,97320826,2013-14,Actual
FY 2015-16 Budget in Brief,Public Safety,Portland Police Bureau,Operating,169282301,2013-14,Actual
FY 2015-16 Budget in Brief,Parks Recreation & Culture,Portland Parks & Recreation,Operating,121090017,2013-14,Actual
FY 2015-16 Budget in Brief,Public Utilities,Bureau of Environmental Services,Operating,817242945,2013-14,Actual
FY 2015-16 Budget in Brief,Public Utilities,Portland Water Bureau,Operating,508095498,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Bureau of Development Services,Operating,69496839,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Office of Equity & Human Rights,Operating,1428905,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Portland Housing Bureau,Operating,50938858,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Office of Neighborhood Involvement,Operating,7115727,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Bureau of Planning & Sustainability,Operating,15923874,2013-14,Actual
FY 2015-16 Budget in Brief,Community Development,Portland Development Commission,Operating,4860191,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,City Budget Office,Operating,1578188,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Office of the City Attorney,Operating,9599607,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Office of Government Relations,Operating,1168302,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Office of Management & Finance,Operating,443076949,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Special Appropriations,Operating,8882738,2013-14,Actual
FY 2015-16 Budget in Brief,City Support Services,Fund & Debt Management,Operating,514011218,2013-14,Actual
FY 2015-16 Budget in Brief,Transportation & Parking,Portland Bureau of Transportation,Operating,179240744,2013-14,Actual
FY 2015-16 Budget in Brief,Elected Officials,Office of the City Auditor,Operating,57113176,2013-14,Actual
FY 2016-17 Budget in Brief,Public Safety,Bureau of Emergency Communications,Capital,0,2014-15,Actual
FY 2016-17 Budget in Brief,Public Safety,Bureau of Fire & Police Disability & Retirement,Capital,96313,2014-15,Actual
FY 2016-17 Budget in Brief,Public Safety,Portland Bureau of Emergency Management,Capital,0,2014-15,Actual
FY 2016-17 Budget in Brief,Public Safety,Portland Fire & Rescue,Capital,1098486,2014-15,Actual
FY 2016-17 Budget in Brief,Public Safety,Portland Police Bureau,Capital,377476,2014-15,Actual
FY 2016-17 Budget in Brief,Parks Recreation & Culture,Portland Parks & Recreation,Capital,17467013,2014-15,Actual
FY 2016-17 Budget in Brief,Public Utilities,Bureau of Environmental Services,Capital,104893689,2014-15,Actual
FY 2016-17 Budget in Brief,Public Utilities,Portland Water Bureau,Capital,100599893,2014-15,Actual
FY 2016-17 Budget in Brief,Community Development,Bureau of Development Services,Capital,2535807,2014-15,Actual
FY 2016-17 Budget in Brief,Community Development,Office of Equity & Human Rights,Capital,0,2014-15,Actual
