fund_center_code,fund_code,functional_area_code,object_code,fund_center_name,fund_name,functional_area_name,accounting_object_name,service_area_code,program_code,sub_program_code,fund_center,division_code,bureau_code,bureau_name,fiscal_year,amount
ESBS000001,ENTERPRISE,PUASFI,FNDXFER,Business Services Financial Management,Enterprise,Finance,Fund Transfers - Expense,PU,PUAS,PUASFI,ESBS000001,ESBS,ES,Bureau of Environmental Services,2008-09,-72257668
TRDR000005,SPEC_REV,TPASBS,ENDBAL,Maintenance Payroll,Special Revenue,Business Services,Unappropriated Fund Balance,TP,TPAS,TPASBS,TRDR000005,TRDR,TR,Portland Bureau of Transportation,2010-11,-34619461
WAFS000001,ENTERPRISE,PUASPL,IMS,Finance & Support Svc-Fin & Sup Svcs Grp,Enterprise,Planning,Internal Materials and Services,PU,PUAS,PUASPL,WAFS000001,WAFS,WA,Portland Water Bureau,2012-13,-16689797
PLIN000019,GENERAL,PSERER,EMS,Drug & Vice,General Fund,Emergency Response & Problem Solving,External Materials and Services,PS,PSER,PSERER,PLIN000019,PLIN,PL,Portland Police Bureau,2013-14,-6
TRED000008,SPEC_REV,TPCIHL,PERSONAL,Construction,Special Revenue,Health & Livability,Personnel Services,TP,TPCI,TPCIHL,TRED000008,TRED,TR,Portland Bureau of Transportation,2013-14,-6
PLOP000034,GENERAL,PSERER,EMS,Traffic/Investigation,General Fund,Emergency Response & Problem Solving,External Materials and Services,PS,PSER,PSERER,PLOP000034,PLOP,PL,Portland Police Bureau,2010-11,-6
ESEN000023,ENTERPRISE,PUENAM,PERSONAL,Watershed Revegetation Program,Enterprise,Asset Systems Management,Personnel Services,PU,PUEN,PUENAM,ESEN000023,ESEN,ES,Bureau of Environmental Services,2014-15,-3
ESEN000023,ENTERPRISE,PUENPM,PERSONAL,Watershed Revegetation Program,Enterprise,Capital Program Mgmt & Controls,Personnel Services,PU,PUEN,PUENPM,ESEN000023,ESEN,ES,Bureau of Environmental Services,2013-14,-3
PLIN000045,GENERAL,PSERER,PERSONAL,Detectives Homicide/ Assault Unit,General Fund,Emergency Response & Problem Solving,Personnel Services,PS,PSER,PSERER,PLIN000045,PLIN,PL,Portland Police Bureau,2012-13,-3
TRMN000016,SPEC_REV,TPMA00,PERSONAL,Environmental Systems Division/One Call,Special Revenue,Maintenance,Personnel Services,TP,TPMA,TPMA00,TRMN000016,TRMN,TR,Portland Bureau of Transportation,2012-13,-3
HCPG000004,GENERAL,CDHMHD,EMS,Housing Investment & Portfolio Preservat,General Fund,Homeownership Development,External Materials and Services,CD,CDHM,CDHMHD,HCPG000004,HCPG,HC,Portland Housing Bureau,2011-12,-3
ESBS000005,ENTERPRISE,PUENAM,PERSONAL,Mapping Data & Application Services,Enterprise,Asset Systems Management,Personnel Services,PU,PUEN,PUENAM,ESBS000005,ESBS,ES,Bureau of Environmental Services,2010-11,-3
TRDR000004,SPEC_REV,TPOPDS,PERSONAL,Transportation Planning,Special Revenue,Development Services,Personnel Services,TP,TPOP,TPOPDS,TRDR000004,TRDR,TR,Portland Bureau of Transportation,2010-11,-3
WAMC000002,ENTERPRISE,PUASBS,PERSONAL,Maint & Const-Administrative Support,Enterprise,Bureau Support,Personnel Services,PU,PUAS,PUASBS,WAMC000002,WAMC,WA,Portland Water Bureau,2009-10,-3
WAOP000004,ENTERPRISE,PUDIFS,PERSONAL,Operations-Service Water Quality,Enterprise,Field Support,Personnel Services,PU,PUDI,PUDIFS,WAOP000004,WAOP,WA,Portland Water Bureau,2009-10,-3
ESEN000021,ENTERPRISE,PUASIM,PERSONAL,ASM - Modeling,Enterprise,Information Management,Personnel Services,PU,PUAS,PUASIM,ESEN000021,ESEN,ES,Bureau of Environmental Services,2015-16,-2
ESEN000021,ENTERPRISE,PUWWCS,PERSONAL,ASM - Modeling,Enterprise,Collection System,Personnel Services,PU,PUWW,PUWWCS,ESEN000021,ESEN,ES,Bureau of Environmental Services,2015-16,-2
MFRB000005,GENERAL,LARHPC,EMS,Office for Community Technology,General Fund,Portland Community Media,External Materials and Services,LA,LARH,LARHPC,MFRB000005,MFRB,MF,Office of Management & Finance,2015-16,-2
OEOE000001,GENERAL,CDEENP,PERSONAL,Office of Equity and Human Rights,General Fund,New Portlander Program,Personnel Services,CD,CDEE,CDEENP,OEOE000001,OEOE,OE,Office of Equity & Human Rights,2015-16,-2
PLOP000042,GENERAL,PSERER,EMS,Crisis Response Team,General Fund,Emergency Response & Problem Solving,External Materials and Services,PS,PSER,PSERER,PLOP000042,PLOP,PL,Portland Police Bureau,2009-10,-1
PKDI000002,CAPITAL,PRSPBS,IMS,Finance,Capital Projects,Business Services,Internal Materials and Services,PR,PRSP,PRSPBS,PKDI000002,PKDI,PK,Portland Parks & Recreation,2008-09,-1
PKDI000002,CAPITAL,PRSPBS,FNDXFER,Finance,Capital Projects,Business Services,Fund Transfers - Expense,PR,PRSP,PRSPBS,PKDI000002,PKDI,PK,Portland Parks & Recreation,2008-09,-1
