Fund center code,fund code,functional area code,object code,FY 2015-16,FY 2014-15,FY 2013-14,FY 2012-13,FY 2011-12,FY 2010-11,FY 2009-10,FY 2008-09,FY 2007-08,FY 2006-07,fund center name,Fund Name,functional area name,accounting object name,Service Area Code,Program Code,Sub Program Code,Fund Center,Division Code,Bureau Code,Bureau Name
ATAT000001,GENERAL,LAAS00,EMS,0,0,0,5476,0,0,0,0,0,0,Office of City Attorney,General Fund,Administration & Support,External Materials and Services,LA,LAAS,LAAS00,ATAT000001,ATAT,AT,Office of the City Attorney
ATAT000001,GENERAL,LAASCA,EMS,0,-100,0,0,0,0,0,0,0,0,Office of City Attorney,General Fund,CAO's Office,External Materials and Services,LA,LAAS,LAASCA,ATAT000001,ATAT,AT,Office of the City Attorney
ATAT000001,GENERAL,LALS00,PERSONAL,9336197,9194166,8390345,7910358,8003606,7320411,7265656,6878528,6190388,5529457,Office of City Attorney,General Fund,Legal Services,Personnel Services,LA,LALS,LALS00,ATAT000001,ATAT,AT,Office of the City Attorney
ATAT000001,GENERAL,LALS00,EMS,457209,775365,354998,322733,384180,386043,370644,400203,460002,420906,Office of City Attorney,General Fund,Legal Services,External Materials and Services,LA,LALS,LALS00,ATAT000001,ATAT,AT,Office of the City Attorney
ATAT000001,GENERAL,LALS00,IMS,974502,883066,854264,739326,740167,720154,779143,737534,670709,622750,Office of City Attorney,General Fund,Legal Services,Internal Materials and Services,LA,LALS,LALS00,ATAT000001,ATAT,AT,Office of the City Attorney
ATAT000001,INT_SVC,LAFA00,EMS,0,4,0,0,0,0,0,0,0,0,Office of City Attorney,Internal Service,Facilities Services,External Materials and Services,LA,LAFA,LAFA00,ATAT000001,ATAT,AT,Office of the City Attorney
ATAT000001,INT_SVC,LALS00,EMS,0,-4,0,0,0,0,0,0,0,0,Office of City Attorney,Internal Service,Legal Services,External Materials and Services,LA,LALS,LALS00,ATAT000001,ATAT,AT,Office of the City Attorney
AUCA000001,GENERAL,LAAUAU,PERSONAL,1260468,1446450,1461581,1364380,1354063,1215749,1193465,1020029,958565,889443,Audit Services,General Fund,Audit Services,Personnel Services,LA,LAAU,LAAUAU,AUCA000001,AUCA,AU,Office of the City Auditor
AUCA000001,GENERAL,LAAUAU,EMS,65095,42558,40275,47333,126247,51939,126013,117483,99468,109290,Audit Services,General Fund,Audit Services,External Materials and Services,LA,LAAU,LAAUAU,AUCA000001,AUCA,AU,Office of the City Auditor
AUCA000001,GENERAL,LAAUAU,IMS,205857,190324,191977,212966,258099,199147,211555,177070,0,7805,Audit Services,General Fund,Audit Services,Internal Materials and Services,LA,LAAU,LAAUAU,AUCA000001,AUCA,AU,Office of the City Auditor
AUCA000001,GENERAL,LAAUAUCA,EMS,320972,328003,332313,302823,306335,336570,300649,446526,265606,269703,Audit Services,General Fund,CAFR Audit,External Materials and Services,LA,LAAU,LAAUAUCA,AUCA000001,AUCA,AU,Office of the City Auditor
AUCA000001,GENERAL,LAAUAUPD,EMS,0,0,0,124204,81715,125835,89300,72745,0,0,Audit Services,General Fund,PDC Audit,External Materials and Services,LA,LAAU,LAAUAUPD,AUCA000001,AUCA,AU,Office of the City Auditor
AUCA000001,GENERAL,LAAUAUSA,EMS,32828,112733,96972,90675,121365,110460,0,0,0,0,Audit Services,General Fund,Single Audit,External Materials and Services,LA,LAAU,LAAUAUSA,AUCA000001,AUCA,AU,Office of the City Auditor
AUCA000001,GENERAL,LACRCC,EMS,0,0,0,0,56,0,0,753,0,0,Audit Services,General Fund,Council Clerk & Contracts,External Materials and Services,LA,LACR,LACRCC,AUCA000001,AUCA,AU,Office of the City Auditor
AUCA000001,GENERAL,LAOPSR,EMS,25,0,0,0,0,0,0,0,0,0,Audit Services,General Fund,HR Systems & Records,External Materials and Services,LA,LAOP,LAOPSR,AUCA000001,AUCA,AU,Office of the City Auditor
AUCA000002,GENERAL,LACRCC,EMS,0,0,0,0,0,0,31,808,0,0,Independent Police Review,General Fund,Council Clerk & Contracts,External Materials and Services,LA,LACR,LACRCC,AUCA000002,AUCA,AU,Office of the City Auditor
AUCA000002,GENERAL,LAGR00,EMS,0,0,0,0,0,0,0,20,0,0,Independent Police Review,General Fund,Government Relations,External Materials and Services,LA,LAGR,LAGR00,AUCA000002,AUCA,AU,Office of the City Auditor
AUCA000002,GENERAL,LAHO00,EMS,0,278,0,0,0,0,0,0,0,0,Independent Police Review,General Fund,Hearings Office,External Materials and Services,LA,LAHO,LAHO00,AUCA000002,AUCA,AU,Office of the City Auditor
AUCA000002,GENERAL,LAIP00,PERSONAL,1334172,1274348,1147444,953288,985759,904426,873233,825802,685683,725300,Independent Police Review,General Fund,Independent Police Review,Personnel Services,LA,LAIP,LAIP00,AUCA000002,AUCA,AU,Office of the City Auditor
AUCA000002,GENERAL,LAIP00,EMS,140251,82908,57310,91986,106034,112552,36243,51001,61134,88652,Independent Police Review,General Fund,Independent Police Review,External Materials and Services,LA,LAIP,LAIP00,AUCA000002,AUCA,AU,Office of the City Auditor
AUCA000002,GENERAL,LAIP00,IMS,186024,165459,152479,136789,154145,155228,157371,145093,0,0,Independent Police Review,General Fund,Independent Police Review,Internal Materials and Services,LA,LAIP,LAIP00,AUCA000002,AUCA,AU,Office of the City Auditor
