"id","code_type","code","description"
5258,"fund_code","GENERAL","General Fund"
5259,"fund_code","TRUST_PEN","Trust Pension"
5260,"fund_code","ENTERPRISE","Enterprise"
5261,"fund_code","CAPITAL","Capital Projects"
5262,"fund_code","DEBT_SVC","Debt Service"
5263,"fund_code","SPEC_REV","Special Revenue"
5264,"fund_code","INT_SVC","Internal Service"
5265,"fund_code","PERM","Permanent"
5266,"object_code","CONT","Contingency"
5267,"object_code","PERSONAL","Personnel Services"
5268,"object_code","FNDXFER","Fund Transfers - Expense"
5269,"object_code","IMS","Internal Materials and Services"
5270,"object_code","BOND","Debt Service"
5271,"object_code","EMS","External Materials and Services"
5272,"object_code","CAPITAL","Capital Outlay"
5273,"object_code","ENDBAL","Unappropriated Fund Balance"
5280,"bureau_code","WA","Portland Water Bureau"
5281,"bureau_code","HC","Portland Housing Bureau"
5282,"bureau_code","MY","Office of the Mayor"
5283,"bureau_code","PA","Commissioner of Public Affairs"
5284,"bureau_code","PS","Commissioner of Public Safety"
5285,"bureau_code","TR","Portland Bureau of Transportation"
5286,"bureau_code","AT","Office of the City Attorney"
5287,"bureau_code","OE","Office of Equity & Human Rights"
5288,"bureau_code","AU","Office of the City Auditor"
5289,"bureau_code","EC","Bureau of Emergency Communications"
5290,"bureau_code","ES","Bureau of Environmental Services"
5291,"bureau_code","PW","Commissioner of Public Works"
5292,"bureau_code","BO","City Budget Office"
5293,"bureau_code","NI","Office of Neighborhood Involvement"
5294,"bureau_code","PL","Portland Police Bureau"
5295,"bureau_code","GR","Office of Government Relations"
5296,"bureau_code","MF","Office of Management & Finance"
5297,"bureau_code","SD","Office of Sustainable Development"
5298,"bureau_code","CB","Office for Community Technology"
5299,"bureau_code","FR","Portland Fire & Rescue"
5300,"bureau_code","PN","Bureau of Planning & Sustainability"
5301,"bureau_code","PU","Commissioner of Public Utilities"
5302,"bureau_code","PK","Portland Parks & Recreation"
5303,"bureau_code","HN","Office of Human Relations"
5304,"bureau_code","DS","Bureau of Development Services"
5305,"bureau_code","ZD","Portland Development Commission"
5306,"bureau_code","EM","Portland Bureau of Emergency Management"
5307,"bureau_code","DR","Bureau of Fire & Police Disability & Retirement"
5308,"fund_center_code","AUCA000005","Hearings Office"
5309,"fund_center_code","FRPR000014","FPP Fire Code Enforcement"
5310,"fund_center_code","WAEN000014","Engineering-Project Planning"
5311,"fund_center_code","PLOP000010","Old Town Contact"
5312,"fund_center_code","PLIN000013","ATF Task Force"
5313,"fund_center_code","FREO000004","Emergency Mgmt"
5314,"fund_center_code","FRMS000026","Station 16"
5315,"fund_center_code","PKWC000015","Public Involvement"
5316,"fund_center_code","WAMC000019","Maint & Const - Outer Northeast District"
5317,"fund_center_code","DSSS000006","Environmental Soils"
5318,"fund_center_code","MFHR000011","City Self Insured Plans"
5319,"fund_center_code","MFOP000036","Spec Fac Admin"
5320,"fund_center_code","TRDR000001","Transportation Administration"
5321,"fund_center_code","PKLM000002","Westside Lands Manager Administration"
5322,"fund_center_code","MFTS000005","Do Not Use -Quality Assurance"
5323,"fund_center_code","PKWC000011","Recreation Strategies & Initiatives"
5324,"fund_center_code","PLSB000016","Fiscal Services"
5325,"fund_center_code","ESEN000009","Wastewater Engineering"
5326,"fund_center_code","TRED000012","Streetcar Operations"
5327,"fund_center_code","MFOP000017","*INAC* 1st & Jefferson Park"
5328,"fund_center_code","NINR000008","Elders in Action"
5329,"fund_center_code","PKPR000028","Grant Pool"
5330,"fund_center_code","TRDR000009","Funds Management"
5331,"fund_center_code","ESWW000023","Coll Sys - Bureau of Maint Interagency"
5332,"fund_center_code","PLIN000037","Child Abuse Multi-Discip Intervention"
5333,"fund_center_code","PLIN000007","Special Emergency Reaction Team"
5334,"fund_center_code","PKPR000011","Summer Free for All"
5335,"fund_center_code","FRMS000009","Support for Suppression"
5336,"fund_center_code","ESEN000005","Stormwater Early Assistance"
5337,"fund_center_code","MFOP000025","*INAC* 4th & Yamhill Comm"
5338,"fund_center_code","PNSD000007","Commercial Solid Waste"
5339,"fund_center_code","AUDA000005","Campaign Finance Program"
5340,"fund_center_code","NINR000005","NPNS Tool Library"
5341,"fund_center_code","MFOP000060","Emergency Coordination Center"
5342,"fund_center_code","PLOP000065","Behavioral Health Unit"
5343,"fund_center_code","DSSS000001","Code Compliance"
5344,"fund_center_code","FRMS000031","Station 21"
5345,"fund_center_code","FRPR000011","Code Enforcement B"
5346,"fund_center_code","FRPR000008","F&LS Plan Review"
5347,"fund_center_code","FRMS000011","Station 1"
5348,"fund_center_code","PNDP000002","District Liaison Program"
5349,"fund_center_code","PLOP000017","SE/Return to Work"
5350,"fund_center_code","PLOP000022","SE Precinct"
5351,"fund_center_code","CBMH000005","PEG Capital Administration"
5352,"fund_center_code","FRPR000002","Harbor Master"
5353,"fund_center_code","MFHR000014","Human Resources Police Bureau"
5354,"fund_center_code","PLCH000015","Health & Safety"
5355,"fund_center_code","PLSB000012","Personnel Division"
5356,"fund_center_code","MFOP000057","East Precinct"
5357,"fund_center_code","MFTS000013","Help Desk"
5358,"fund_center_code","TRMN000019","Sewer Repair"
5275,"service_area_code","LA","Legislative, Administrative, & Support"
5278,"service_area_code","PS","Public Safety"
5276,"service_area_code","PU","Public Utilities"
5359,"fund_center_code","WARP000002","Intergovernmental Coordination"
5360,"fund_center_code","AUCA000006","City Auditor"
5361,"fund_center_code","PLIN000019","Drug & Vice"
5362,"fund_center_code","MFFS000007","Deferred Compensation"
5363,"fund_center_code","WAEN000025","Engineering-Project Management"
5364,"fund_center_code","MFHR000006","Benefits"
5365,"fund_center_code","WARP000005","Resource  Protection-Env Compliance"
5366,"fund_center_code","PKCN000003","Tree Regulation"
5367,"fund_center_code","PKWC000012","Mt. Tabor Community School"
5368,"fund_center_code","EMEM000005","Exercises and Training"
5369,"fund_center_code","WACS000003","Customer Service-Collections"
5370,"fund_center_code","ESWW000012","Columbia Blvd WWTP - Electrical & Instr"
5371,"fund_center_code","ESWS000008","Columbia Slough"
5372,"fund_center_code","ECAD000001","Administration"
5373,"fund_center_code","ESPP000001","Poll. Prevention Administration"
5374,"fund_center_code","TRMN000010","Traffic Maintenance Parking Meters"
5375,"fund_center_code","MFOP000023","*INAC* 3rd & Alder Comm"
5376,"fund_center_code","MFOP000050","Records Ctr - PSU"
5377,"fund_center_code","ESDR000004","Portland Harbor Admin"
5378,"fund_center_code","PKPR000021","Matt Dishman Community Center"
5379,"fund_center_code","WARP000007","Sourcewater Protection"
5380,"fund_center_code","FRMS000012","Station 2"
5381,"fund_center_code","PLOP000012","Bryant Square Office"
5382,"fund_center_code","PLIN000003","Police League"
5383,"fund_center_code","FREO000011","Portland Emergency Medical Svcs"
5384,"fund_center_code","FREO000005","Specialty Rescues"
5385,"fund_center_code","MFFM000002","General Fund Discretionary Revenues"
5386,"fund_center_code","MFTS000042","Telecomm Ops"
5387,"fund_center_code","PLSB000008","Property Evidence"
5388,"fund_center_code","FRCO000006","Light Duty - Pregnancy"
5389,"fund_center_code","FRMS000034","Station 24"
5390,"fund_center_code","FRMS000035","Station 25"
5391,"fund_center_code","MFOP000031","Rose Garden"
5392,"fund_center_code","PLIN000032","Women's Strength"
5393,"fund_center_code","TRMN000021","Operational Support"
5394,"fund_center_code","ESEN000010","Materials Testing Lab Administration"
5395,"fund_center_code","ESPP000013","Coordinated Site Analysis-Direct"
5396,"fund_center_code","TRMN000016","Environmental Systems Division/One Call"
5397,"fund_center_code","PNDP000005","Historic Resources Program"
5398,"fund_center_code","EMEM000003","Emergency Operations"
5399,"fund_center_code","PLIN000006","Tactical Operations Division"
5400,"fund_center_code","WAFS000002","Finance & Support Svc-Finance/Budget"
5401,"fund_center_code","PLOP000025","NE/Return to Work"
5402,"fund_center_code","TRMN000022","Fleet and Equipment Maintenance"
5403,"fund_center_code","ESEN000015","Admin/Stormwater Retrofit Administration"
5404,"fund_center_code","PNDP000004","Central City Program"
5405,"fund_center_code","PLCH000009","Criminal Intelligence Unit"
5406,"fund_center_code","DSPR000003","Permit / Plan Processing"
5407,"fund_center_code","FRMS000017","Station 7"
5408,"fund_center_code","ESWS000001","Watershed Group Administration"
5409,"fund_center_code","WACS000004","Customer Service-Low Income Program"
5410,"fund_center_code","PNPC000004","River Planning Project"
5411,"fund_center_code","CBCF000001","Cable Regulatory Service"
5412,"fund_center_code","MFOP000009","Occupational Health & Infectious Disease"
5413,"fund_center_code","PKWC000006","Centennial Community School"
5414,"fund_center_code","MFHR000012","PPA Self Insured Plan Internal Admin"
5415,"fund_center_code","AUCA000004","Ombudsman Office"
5416,"fund_center_code","TRTS000005","Parking Operations"
5417,"fund_center_code","MFTS000020","SAN"
5418,"fund_center_code","FRCO000001","Chief's Office"
5419,"fund_center_code","MFOP000040","Facilities Services Admininstration"
5420,"fund_center_code","MFTS000014","User Access & Account Management"
5421,"fund_center_code","NINR000002","Coalition Contracts"
5422,"fund_center_code","HNHN000001","Office of Human Relations"
5423,"fund_center_code","WAMC000018","Maint & Const-Carpenter/Utility Locates"
5424,"fund_center_code","ATAT000001","Office of City Attorney"
5425,"fund_center_code","PLCH000005","Crime Analysis Unit"
5426,"fund_center_code","AUDA000002","Council/Contracts"
5427,"fund_center_code","MFTS000037","E-Commerce Applications"
5428,"fund_center_code","WAAD000005","Administration-Grounds Maintenance"
5429,"fund_center_code","PKPR000010","Southwest Community Center"
5430,"fund_center_code","WAEN000021","Engineering - Maintenance Engineering"
5431,"fund_center_code","MFTS000006","Project Management Office Overhead"
5432,"fund_center_code","PLOP000054","Eastport Contact Office"
5433,"fund_center_code","PLOP000026","North/Special Pol Service"
5434,"fund_center_code","MFOP000048","Portland Community Center"
5435,"fund_center_code","WAOP000011","Operations-Small/Large Meters"
5436,"fund_center_code","MFHR000007","Site Team - Public Utilities"
5437,"fund_center_code","PLIN000045","Detectives Homicide/ Assault Unit"
5438,"fund_center_code","ESWW000014","Tryon Creek WWTP - Electrical & Instr"
5439,"fund_center_code","PNDP000003","Urban Design Program"
5440,"fund_center_code","WAMC000006","Maint & Const-Field Services 2"
5441,"fund_center_code","MFOP000041","Facilities Maintenance Services"
5442,"fund_center_code","MFHR000002","Labor Relations"
5443,"fund_center_code","PKCN000008","CN East Natural Areas"
5444,"fund_center_code","PLOP000047","North Detectives"
5445,"fund_center_code","PLCH000012","Support Services Overhead"
5446,"fund_center_code","PACO000002","CHIF Administration"
5447,"fund_center_code","DSIS000009","Plumbing"
5448,"fund_center_code","DSIS000006","Signs"
5449,"fund_center_code","NINR000013","Visioning Grants"
5450,"fund_center_code","WAFS000001","Finance & Support Svc-Fin & Sup Svcs Grp"
5451,"fund_center_code","MFHR000004","Employment & Development"
5452,"fund_center_code","FRMS000022","Station 12"
5453,"fund_center_code","PKSB000003","Property Management"
5454,"fund_center_code","PKSB000002","Marketing and Business Development"
5455,"fund_center_code","FRTS000001","Training Academy"
5456,"fund_center_code","MFSA000020","PCPA Cash Xfer and related activities"
5457,"fund_center_code","FREO000014","Portland Sick Severance"
5458,"fund_center_code","FRTS000004","Recruiting"
5459,"fund_center_code","FREO000019","EOPS Long-Term Leave"
5460,"fund_center_code","WAEN000007","Engineering-Construction Program Mgmt"
5461,"fund_center_code","WAEN000024","Engineering-Facility & Security"
5462,"fund_center_code","ESWW000005","Pump Station - Mechanical"
5463,"fund_center_code","FRPR000003","Prevention Training"
5464,"fund_center_code","PNOP000003","Budget & Finance"
5465,"fund_center_code","PLIN000015","DVD/OCDETF"
5466,"fund_center_code","PLSB000018","PPA Secretary"
5467,"fund_center_code","ESEN000001","Engineering Services Chief Engineer"
5468,"fund_center_code","MFTS000032","Corporate Applications"
5469,"fund_center_code","ESPP000009","WPCL Facility"
5470,"fund_center_code","WAMC000015","Maint & Const-Apprentices"
5471,"fund_center_code","TRED000001","Right of Way Acquisition"
5472,"fund_center_code","PNPC000001","Policy and Code Planning Div - General"
5473,"fund_center_code","ESBS000006","Risk Services"
5474,"fund_center_code","CBMH000006","PEG I-Net Administration"
5475,"fund_center_code","MFTS000044","BOEC Contract Management"
5476,"fund_center_code","ESEN000004","Development Engineering"
5477,"fund_center_code","NINL000001","Liquor Licensing Notification"
5478,"fund_center_code","MFTS000045","Cellular Phones"
5479,"fund_center_code","WAFS000006","Other Operating Revenue"
5480,"fund_center_code","MFOP000021","*INAC* 10th & Yamhill Comm"
5481,"fund_center_code","PLIN000028","AF/DWS/Habitual"
5482,"fund_center_code","WAMC000008","Maint & Const-Fleet Operations"
5483,"fund_center_code","WAFS000008","Debt Activity"
5484,"fund_center_code","PKPR000016","Services East  Zone Operations"
5485,"fund_center_code","PKCN000002","Hoyt Arboretum"
